Date,Hour,Temperature
10/1/22,21,26.6
10/1/22,22,25
10/1/22,23,23.6
11/1/22,0,22.4
11/1/22,1,21.4
11/1/22,2,21.1
11/1/22,3,20.5
11/1/22,4,20
11/1/22,5,19.5
11/1/22,6,18.6
11/1/22,7,18.5
11/1/22,8,18
11/1/22,9,17.9
11/1/22,10,19.5
11/1/22,11,21.1
11/1/22,12,22.9
11/1/22,13,24.6
11/1/22,14,27.2
11/1/22,15,29.4
11/1/22,16,30
11/1/22,17,30.7
11/1/22,18,30.3
11/1/22,19,30.9
11/1/22,20,30.5
11/1/22,21,29.3
11/1/22,22,27.4
11/1/22,23,25.7
12/1/22,0,24.7
12/1/22,1,22.9
12/1/22,2,22.6
12/1/22,3,21.3
12/1/22,4,20.6
12/1/22,5,19.4
12/1/22,6,18.7
12/1/22,7,18.4
12/1/22,8,18.5
12/1/22,9,18
12/1/22,10,18.9
12/1/22,11,21.4
12/1/22,12,24.2
12/1/22,13,26
12/1/22,14,29.4
12/1/22,15,31.9
12/1/22,16,33.3
12/1/22,17,32.3
12/1/22,18,33.3
12/1/22,19,32
12/1/22,20,31.2
12/1/22,21,30.1
12/1/22,22,28.4
12/1/22,23,26.4
13/01/2022,0,24.8
13/01/2022,1,24.3
13/01/2022,2,23.9
13/01/2022,3,22.9
13/01/2022,4,22.3
13/01/2022,5,21.3
13/01/2022,6,20.4
13/01/2022,7,20
13/01/2022,8,19.1
13/01/2022,9,18.5
13/01/2022,10,20
13/01/2022,11,22.1
13/01/2022,12,24
13/01/2022,13,26.8
13/01/2022,14,30.5
13/01/2022,15,32.1
13/01/2022,16,32.4
13/01/2022,17,33.8
13/01/2022,18,33.4
13/01/2022,19,33.4
13/01/2022,20,32.1
13/01/2022,21,30.8
13/01/2022,22,29.3
13/01/2022,23,27.8
14/01/2022,0,26.5
14/01/2022,1,26.1
14/01/2022,2,25.5
14/01/2022,3,24.9
14/01/2022,4,24.3
14/01/2022,5,23.9
14/01/2022,6,23
14/01/2022,7,22.5
14/01/2022,8,21.9
14/01/2022,9,21.8
14/01/2022,10,22.7
14/01/2022,11,24.1
14/01/2022,12,25.7
14/01/2022,13,27.1
14/01/2022,14,30.3
14/01/2022,15,29.7
14/01/2022,16,30.6
14/01/2022,17,33.2
14/01/2022,18,33.7
14/01/2022,19,32.7
14/01/2022,20,32
14/01/2022,21,30.2
14/01/2022,22,27.9
14/01/2022,23,25.2
15/01/2022,0,24.2
15/01/2022,1,23.7
15/01/2022,2,23.4
15/01/2022,3,23.2
15/01/2022,4,23.2
15/01/2022,5,22.7
15/01/2022,6,22.4
15/01/2022,7,21.9
15/01/2022,8,21.4
15/01/2022,9,21.2
